Tag,Question,Ans
ActiveSubscription,How many active Subscriptions do I have?,
,What are my active subscriptions?,
,What are my total Active Subscriptions?,
,Get details of my Active Subscriptions,
,Get my Active Subscriptions,
,What are my total Active Subscriptions?,
,,
 PendingSubscription,How many Subscriptions are pending for me?,Your pending subscriptions are
,What are my Pending Subscriptions?,Your subscriptions for # are pending
,What are my Total Pending Subscriptions?,
,Which of my subscriptions are pending?,
,My pending subscriptions,
,,
RejectSubscription,How many of my Subscriptions are Rejected?,1 - Reject
,what are my total rejected subscriptions?,Details of your rejected subscriptions
,My Rejected Subscriptions,Your rejected subscriptions are
,What are my rejected subscriptions?,Go to My Subscriptions to find out your rejected suscriptions
,Which of my subscriptions have been rejected?,
,,
SuspendSubscription,How many of my subscriptions are suspended?,1- Suspend
,My suspended subscriptions,
,What are my suspended subscriptions?,
,Get the list of my suspended subscriptions,
,what are my subscriptions that are suspended?,
,Which of my subscriptions are suspended?,
,,
SubscriptionList,Show my subscription List ?,This is the list of your subscriptions -
,My subscriptions list?,Click here to navigate to your subscriptions
,What are my overall subscriptions?,Please find below your overall subscriptions
,my Total subscription?,The details of the subcriptions you hold are-
,get the List of my subscriptions.,Follow this link to view the details of your subscriptions
,My Subscriptions?,"You have # subscriptions - # active, # pending, # expired"
,get the details of all my subscriptions,"You have a total of # subscriptions - # active, # pending, # expired"
,get all my subscriptions,"Your total subscriptions are #  - # active, # pending, # expired"
,which subscriptions do I have/hold?,"# is your total number of subscriptions - # active, # pending, # expired"
,Show me the list of my subscriptions.,
,What are all my subscriptions?,
,How many Subscriptions do I have?,
,What is the total of all my subscriptions?,
,Get the total number of my subscriptions,
,What is my overall subscription count?,
,My total subscriptions,
,what is the count of all my subscriptions?,
,,
SubscriptionLicense,Get SUB-1 subscription details.,
,What are the details of SUB-1?,
,Details of SUB-1,
,Give the details of SUB-1.,
,What is the count of licenses in SUB-1?,license-5
,How many licenses are there in SUB-1? ,
,How many licenses do I have in SUB-1?,
,What is the number of licenses in SUB-1?,
,what is the total count of SUB-1 licenses?,
,what is the count of all my licenses,10 - License / products
,Get the number of my licenses,
,what is my license total count?,
,How many licenses do I hold purchased?,
,How many licenses do I have purchased?,
,What is the total number of my licenses?,
,,
SubscriptionLicenseList,What are the licenses in SUB-1?,"1.Power BI , 2. MS office"
,Get the License list of SUB-1 ?,
,license on SUB-1,This is the list of your Licenses in SUB-1 -
,i want my license on my SUB-1,Click here to navigate to your licenses
,can you get license information in subscription SUB-1 ?,Please find below your licenses in SUB-1
,Products details for SUB-1 ?,The details of the        license you hold are-
,Products list for SUB-1 ?,Follow this link to view the details of your licenses
,Products on SUB-1,"Here is the list of your licenses. For a detailed view, go to My Subscriptions"
,i want my Products on my SUB-1,
,can you get Products info on my subscription SUB-1?,
,What products/ licenses do I have in SUB-1?,
,I need a list of my licenses under SUB-1,
,i wanna know about my subscription licenses?,
,i wanna know about my subscription Products ?,
,can i know my subscription licenses?,
,can i know my subscription Products ?,
,What are my licenses in SUB-1?,
,,
LicenseList,what are the details of my licenses,Go to Lincense table on dashboard Link
,Get my licenses list,A brief view of your licenses
,what are my overall products?,Click here to have a detailed view of your licenses
,what are my total licenses?,Here is the list of all your licenses
,What are the licenses I have?,Your products details are
,Get me the list of all my products.,
,,
ExpiryDate,can i know SUB-1 expiry date ?,MM/dd/YYYY Subscription expiry date 01/01/2023
,can you get the expiry date info on my subscription SUB-1 ?,Your # subscription/license expires on #
,I want to know about SUB-1 subscription expiry date ?,Your          license can be used till #
,can you get my expiry date info on my subscription SUB-1  ?,Your                subcription is valid till #
,what is the expiry date of  SUB-1  ,The last date date of  the        license is #
,When is SUB-1 expiring?,          can be used till # before renewing the subscription
,i want the expiry date of SUB-1.,Your         license has to be renewed on or before #
,Till when can I use my subscriptions?,                license will be expiring on #
,What is SUB-1 Expiry Date?,
,When will the SUB-1 expire? ,
,When does SUB-1 expire?,
,Final day of SUB-1 ?,
,When should I renew SUB-1?,
,What is the end date of SUB-1?,
,Till when is my subscription valid?,
,can I know when my subscription is expiring,
,can i know my subscription expiry date ?,
,i wanna know about my subscription expiry data ?,
,expiry date my subscription?,
,what is last date of SUB-1?,
,What is last day of SUB-1?,
,Final day of subscription,
,When do I have to renew my subscription?,
,what is the SUB-1 renewal date?,
,When is my subcription expiring?,
,,
NextBillingDate,What is the next billing date of SUB-1,MM/dd/YYYY Subscription Next Billing date 01/01/2023
,can you get the next billing date info on subscription SUB-1?,The next billing date of the        license is #
,i want my next billing date on my SUB-1,Your           license has to be renewed on or before #
,When/ what is my next billing date?,
,can i know my subscription next billing date ?,
,i wanna know about my subscription next billing date ?,
,next billing date,
,,
SubscriptionStatus,can you get status info on my subscription SUB-1 ?,Approve/Pending/Reject/Suspend
,status on SUB-1,The status of         is 
,i want my status on my SUB-1,
,Status of SUB-1,
,What is the Status of my subscriptions?,
,can i know my subscription status ?,
,i wanna know about my subscription status ?,
,can i know my subscription status ?,
,Status of my susbcription?,
,status my subscription?,
,Has my subscription been approved?,
,,
BillingAmount,can you get billing amount info on my subscription SUB-1 ?,###.##  ($20.00)
,billing amount of SUB-1,
,i want my billing amount on my SUB-1,
,Get the price of SUB-1 ,
,What is the billing amount of SUB-1?,
,can i know my subscription billing amount ?,
,i wanna know about my subscription billing amount ?,
,What is the billing amount of my subscription?,
,SUB-1 price?,
,How much is the total price of SUB-1?,
,,
PricelistType,PriceListType SUB-1?,Skalable/New Commerce/Legacy
,Subscription Type SUB-1?,
,What are the different licenses available?,
,What are the types of licenses under SUB-1?,
,,
SubscriptionTerm,What is the SubscriptionTerm of SUB-1?,Monthly / Yearly / Triennial
,What is the term of SUB-1?,Your                  subscription is valid for #
,What is the validity period of my subscription?,The                      license was procured for a # period
,Validity of SUB-1,                             is a monthly/quarterly/annual/triennial subscription
,,
ExpiringSoon,Which Subscriptions are about to expire in 10 days?,Your        license is expiring in # days
,What is list of subscriptions that will expire in 10 days?,The            subscription is valid for # days
,What the subscriptions that will expire in 10 days?,
,Which of my subscriptions are expiring soon?,
,When are my subscriptions expiring?,
,Which of my subscriptions are ending soon?,
,,
SubscriptionCurrency,Currency of SUB-1,
,SUB-1 Currency?,
,What is currency of SUB-1?,
,What is the currency of my subscription?,
,Get the currency of my subscriptions,
,,
SubscriptionNotes,SUB-1 Notes?,"Subscription Notes - ""abc ....  "" "
,Get the Notes of SUB-1?,
,What notes have been added to SUB-1?,
,What are the subscription notes of my license?,
,what notes have been included in the subscription?,
,,
SubscriptionMSCycle,What is SUB-1 MSCycle?,
,MSCycle of SUB-1 ?,
,What is the MS Cycle of my subscription?,
,What is the difference between MS Cycle and Invoice cycle?,
,What is MS cycle?,
,,
SubscriptionMSId,SUB-1 MSId?,
,MSId of SUB-1 ?,
,My Subscription MSId?,
,What is the MSId of license?,
,Get the MSId of my subscription.,
,,
SubscriptionInvoiceCycle,SUB-1 InvoiceCycle?,
,InvoiceCycle of SUB-1 ?,
,My Subscription InvoiceCycle?,
,What is the invoice cycle of my subscription?,
,Get the invoice cycle of license.,
,,
InvoiceStatus,Where to find the status of my invoice?,Paid/Unpaid/Pending/Faild
,How to know my invoice status?,
,Status of INV-1?,
,What is the status of INV-1?,
,My invoice status?,
,Get the status of INV-1,
,,
DownloadInvoice,Download of INV-1?,
,INV-1  Download?,
,Get the downloaded invoice of my license,
,Can I download INV-1?,
,Give me the license invoice.,
,,
PaidInvoice,My Paid invoices list,
,Get me a list of invoices that are paid,
,Which invoices have I paid?,
,What is the list of my paid invoices?,
,What are my paid invoices?,
,,
PendingInvoice,Get my pending invoices list?,
,What are my Pending invoices?,
,My pending invoices,
,Which invoices are pending?,
,Why is my invoice pending even though I paid?,
,,
UnpaidInvoice,My Unpaid invoice list?,
,My Unpaid invoice,
,get the list of my unpaid invoices,
,how to pay my invoice?,
,What are my unpaid invoices?,
,,
FailedInvoice,my failed invoice?,
,What are my failed invoices?,
,get me my failed invoices,
,failed invoices?,
,What is the list of my failed invoices?,
,,
InvoiceAmount,What is the invoice amount of INV-1?,
,Get me the INV-1 invoice amout,
,Invoice amout of INV-1?,
,What is the amount of INV-1?,
,My INV-1 amount?,
,,
InvoiceDate,My INV-1  create date?/ ,
,What is INV-1 creation/ generation date?,
,when was INV-1 created?,
,INV-1  creation date,
,what is the Date of INV-1? ,
,,
InvoicePaidDate,Get me the payment date of INV-1,
,when did I pay INV-1?,
,what is INV-1 paid date?,
,what is the payment date of INV-1?,
,when was INV-1 paid?,
,,
InvoiceNotes,My INV-1  Notes?,
,What are the notes in INV-1?,
,Get me the notes of INV-1,
, INV-1  Notes?,
, Notes of  INV-1  ?,
,,
InvoiceMonths,My INV-1  Month count?,
, INV-1  Month count?,
, Month of  INV-1  ?,
,,
InvoiceLines,My INV-1  Lines?,
,My INV-1  List ?,
,List of INV-1 ?,
,,
InvoiceCount,How many invoice ?,
,My total invoice?,
,Total invoice?,
,What is the number of my invoices?,
,How many invoices do I have?,
,,
PaidInvoiceCount,How many Paid invoice ?,
,what are my paid invoices?,
,How many of my invoices have been paid?,
,paid invoice list count?,
,Which invoices have been paid?,
,,
UnPaidInvoiceCount,How many Unpaid invoice ?,
,My total Unpaid  invoice?,
,Total Unpaid  invoice?,
,Unpaid  invoice list count?,
,,
PendingInvoiceCount,How many Pending invoice are there?,
,get my total pending invoices?,
,what are the total Pending invoices?,
,get the pending invoice list count?,
,,
FailedInvoiceCount,How many Failed invoice ?,
,My total Failed invoice?,
,Total Failed invoice?,
,Failed  invoice list count?,
,,
InvoicePaymentType,My INV-1 Payment Type?,
,My INV-1 Payment Methoed?,
,What is the payment mode of INV-1?,
,My invoice payment type?,
,How did I pay INV-1?,